card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
c01-04 Sisko 11,Core Box,Sisko,Directive,Strange New Worlds,-,"Reserve
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c01-04 Sisko 12,Core Box,Sisko,Ally,People of Bajor,Bajoran,"Reserve
---
Play - Free: Take an Incident to gain 1 Influence and draw a card.
---
Play - Free: Send an Away Team to a Location. You may pend 2 Latinum to send another Away Team to the same Location. Log this card.",-,-
c01-04 Sisko 13,Core Box,Sisko,Person,Miles O'Brien,"Starfleet
Engineer
Human","Reserve
---
Play - Free: Draw 2 cards and discard 1 of them.
---
Play - Action, Requires 5 Military: Spend 1 Dilithium to draw a Ship from your Discard pile and free play it. Then, draw a card.
---
THIS CARD CANNOT BE PROMOTED.",-,-
c01-04 Sisko 14,Core Box,Sisko,Person,Odo,"Changeling
Security","Reserve
---
Play - Action: Duplicate a play operation of a Person or a Cargo from the Market.
---
Activation - Log a Person from your hand or Discard pile to draw a card. If the logged card is Shady, gain 1 Glory.",-,-
c01-04 Sisko 15,Core Box,Sisko,Ship,U.S.S. Defiant,"Starfleet
Romulan
Attack
Cloak","Reserve
---
Play - Action, Attack: Deploy and warp this ship. If the opponent has at least one Ship at the U.S.S. Defiant's Location, force them to discard 2 cards.
---
Play - Action, Requires 5 Influence: Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,-
c01-04 Sisko 16,Core Box,Sisko,Directive,Analyse,-,"Available
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c01-04 Sisko 17,Core Box,Sisko,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-04 Sisko 18,Core Box,Sisko,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c01-04 Sisko 19,Core Box,Sisko,Incident,Political Crisis,-,"Available
---
Play - Action: Discard a card to return this card. If the discarded card has Influence, gain 1 Latinum.
---
Play - Action: If you have an Ambassador in play, return this card and gain 1 Latinum.",-,-2.0
c01-04 Sisko 20,Core Box,Sisko,Directive,Set a Course,-,"Available
---
Play - Action: Discard up to 3 Person to send the same number of Away Teams to the same Location.
---
Play - Free: Draw a card, then discard a card. Warp up to 2 of your Ship.",-,-
c01-04 Sisko 21,Core Box,Sisko,Location,The Wormhole,Anomaly,"Available
---
Play - Action: Take control of this location. You may free play a Ship.
---
Control - Look at the top 3 Location and put them on the top and/or the bottom of the their deck in any order.
---
Activation - Discard a Person to warp a Ship.
---
Activation - Discard a card to find an Anomaly.","Research
Influence",-
c01-04 Sisko 22,Core Box,Sisko,Person,Jadzia Dax,"Starfleet
Scientist
Trill","Available
---
Play - Action: Gain 1 Research/Influence/Military, whichever is the lowest (you choose in a tie). You may spend 1 Dilithium to do this a second time.
---
Play - Action: Spend 1 Dilithium to return an Incident and gain 1 Glory.
---
Reaction - When you would gain a card, scan 2 of the same suit instead.",Research,-
c01-04 Sisko 23,Core Box,Sisko,Person,Kira Nerys,"Bajoran
Attack
Ops","Available
---
Play - Action, Attack: Find People of Bajor and dismiss an opponent Cardassian/Dominion (of your choice). Promote this card to Duty Officer.
---
Play - Action: Gain 3 Military and 1 Glory. Your Opponent gains 1 Influence.
---
Reaction - After your opponent takes control of a Location, draw a card and gain 1 Dilithium.",-,-
c01-04 Sisko 24,Core Box,Sisko,Person,Quark,"Business
Ferengi
Shady","Available
---
Play - Action: Spend 1 Latinum to scan 1 of Person. If the gained card is Business, draw a card. If the gained card is Shady, take an Incident.
---
Resupply - Gain 1 Dilithium . If you have 2+ Ferengi in play, gain 1 additional Latinum.
---
Reaction - After resolving an operation with a Latinum cost, gain 1 Glory.",-,-
c01-04 Sisko 25,Core Box,Sisko,Ship,U.S.S. Rio Grande,Starfleet,"Available
---
Play - Action: Deploy this ship.
---
Play - Free: Gain 1 Dilithium. Then you may either: beam a card to a ship OR recall a card beamed to a ship.
---
Play - Action: Send an Away Team to a Location where you have a Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,-
c01-04 Sisko 26,Core Box,Sisko,Mission,A Call to Arms,-,"Goal - Have 4 Ship deployed. Have Influence at 7+ OR Military at 7+.
---
Reward - Enlist a Development, reducing the cost by 1 Dilithium or 1 Latinum for each Starbase you have in play.",-,4.0
c01-04 Sisko 27,Core Box,Sisko,Mission,Bajor's Application to the Federation.,-,"Goal - Have 2 Starfleet (excluding your Captain) and 3 Bajoran in play. Have a Ship at Bajor.
---
Reward - Trigger the control operation of one of your controlled Location. Refresh Bajor.",-,5.0
c01-04 Sisko 28,Core Box,Sisko,Mission,Contacting the Dominion,-,"Goal - Have 3 Dominion/Changeling in play.
---
Reward - Gain 3 Influence, Scan 1 of either Person, Cargo, or Ship. Draw 2 cards.",-,3.0
c01-05 Sela 01,Core Box,Sela,Captain,Sela,"Romulan
Human
Shady","Captain
---
Away Teams: 4
---
Reaction - After attacking your opponent, gain 1 Dilithium/Latinum.
---
Activation - Action: Discard either Infiltrate or Conquer and spend 3 Latinum to scan for either Klingon, Vulcan, or Starfleet.
---
Endgame - Score 1 for each of your Attack cards, excluding cards with Romulan/Reman.",-,Endgame
c01-05 Sela 02,Core Box,Sela,Ship,I.R.W. Goraxus,"Romulan
Cloak","Deployed
---
Play - Action: Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",Military,-
c01-05 Sela 03,Core Box,Sela,Ship,I.R.W. Valdore,"Romulan
Attack
Cloak","Development - Cost: 5 Dilithium.
---
Play - Action: Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - You may spend 1 Dilithium to warp this ship and you may beam a card here.
---
Activation - Attack: Spend 2 Dilithium to draw a card and force your opponent to dismiss a Ship.",Any,4.0
c01-05 Sela 04,Core Box,Sela,Person,Donatra,Romulan,"Development - Cost: 2 Dilithium.
---
Play - Free: Draw 3 cards. For each: spend 1 Dilithium OR discard it. Refresh a Ship.
---
Activation - Discard a card to warp a Ship.
---
Activation - Dismiss a ship to draw 2 cards.",-,Military
c01-05 Sela 05,Core Box,Sela,Person,Proconsul Neral,"Communication
Imperial
Romulan","Development - Cost: 2 Dilithium.
---
Play - Action: Find any card. You may free play an Incident. You may discard a Romulan to promote this card to Duty Officer.
---
Reaction - After you take control of a Location, discard a card to gain an Action.",Influence,Influence
c01-05 Sela 06,Core Box,Sela,Person,Shizon,"Imperial
Attack
Reman
Human","Development - Cost: 3 Dilithium.
---
Play - Action, Attack: Your opponent takes an Incident. You may spend 2 Latinum to scan for a Synthetic. You may free play the Scimitar (from your hand).
---
Resupply - Log a Romulan from your hand or Discard pile, if able. If you do, gain 1 Military.
---
Activation - Action, Attack: Gain 1 Military. Your opponent takes an Incident.",-,3.0
c01-05 Sela 07,Core Box,Sela,Ship,Scimitar,"Attack
Reman
Cloak","Development - Cost: 5 Dilithium.
---
Play - Action: Find a Romulan and destroy the found card. Beam a card to Remus. If you do both, deploy this ship.
---
Activation - Warp this ship.
---
Activation - Attack, Requires 7 Military: Log an opponent Location. Gain 1 Glory for each Skill icon the logged card has. Dismiss this ship.
---
Activation - Requires 9 Military: Take control of this ship's (neutral) Location.",Military,4.0
c01-05 Sela 08,Core Box,Sela,Cargo,Forced Singularity,"Romulan
Anomaly
Ongoing","Development - Cost: Dismiss 1 deployed Ship.
---
Play - Action: You may discard a card to find an Engineer/Ops. Junk a card from the Market. Spend 2 Dilithium to deploy this card.
---
Passive - Requires 3 Military: You may have an additional Person on duty.
---
Activation - Discard an Engineer to draw 2 cards and put one of them on the top of you deck.",-,Research
c01-05 Sela 09,Core Box,Sela,Directive,Confiscate,-,"Reserve
---
Play - Action: Spend 4 Dilithium to gain a Ship.
---
Play - Action: Spend 2 Dilithium to gain a Cargo.
---
Play - Free: Gain 1 Latinum.",-,-
c01-05 Sela 10,Core Box,Sela,Directive,Conquer,-,"Reserve
---
Play - Action: You may discard a Person and take an Incident to send 2 Away Teams to a Location where you have a Ship. You may dismiss a Ship to gain a Person/Ship/Ally.",Any,-
c01-05 Sela 11,Core Box,Sela,Directive,Imperial Pride,-,"Reserve
---
Play - Action: Remove an Away Team from 3 different controlled Location to look at the top 2 Encounter. Take one of them and return the other to the bottom of its deck.
---
Play - Action: Spend 10 Dilithium and log a controlled Location to take the top Encounter. If the logged card shares no traits with you Captain, gain 1 Influence.",-,-
c01-05 Sela 12,Core Box,Sela,Person,T'Pel,"Ambassador
Romulan
Vulcan
Spy","Reserve
---
Play - Action, Requires 4 Influence: Spend 1 Latinum to trigger the control operation of one of your controlled Location. Draw a card.
---
Passive - Increase your hand size by 1.",-,-
c01-05 Sela 13,Core Box,Sela,Incident,Energy Drain,,"Reserve
---
Play - Action: Spend 2 Dilithium to return this card. If you have an Engineer in play, gain an Action.",-,-2.0
c01-05 Sela 14,Core Box,Sela,Person,Tomalak,"Romulan
Attack","Reserve
---
Play - Action, Attack: Spend 2 Dilithium to gain a Ship. Dismiss all your opponent's Starfleet Duty Officers. If any were dismissed, force them to discard a card.
---
Activation - Spend 1 Dilithium to draw a Ship from your Discard pile.
---
Activation - Discard a card to draw an Attack from your Discard pile.",-,-
c01-05 Sela 15,Core Box,Sela,Cargo,Disruptor Rifles,"Romulan
Weapon
Attack","Available
---
Play - Action, Attack: Discard a Romulan. If you do, up to twice: remove an opponent Away Team from a neutral Location where you have a Ship. Gain 1 Glory for each Away Team removed. You may junk a card from the Market.
---
Play - Action: Gain 1 Military. Junk a card from the Market.",-,-
c01-05 Sela 16,Core Box,Sela,Person,Sub-Commander T'Rul,"Engineer
Romulan","Available
---
Play - Free: Draw a card. You may discard a card to draw a Cloak from your Discard pile.
---
Reaction - After putting a Cloak into play, gain 1 Latinum.",-,-
c01-05 Sela 17,Core Box,Sela,Ship,I.R.W. Khazara,"Romulan
Cloan","Available
---
Play - Action: Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",Influence,-
c01-05 Sela 18,Core Box,Sela,Person,General Movar,"Romulan
Ops","Available
---
Play - Action: Discard an Attack and spend 1 Dilithium to scan for a Shady.
---
Resupply - Draw a card for every 2 Shady you have in play (max 4 cards).
---
Activation - Take an Incident to gain 1 Dilithium. If you do, you may free play an Attack.",-,-
c01-05 Sela 19,Core Box,Sela,Location,Remus,"Attack
Reman","Available
---
Play - Action: Take control of this location.
---
Control - Attack: Force your opponent to discard a card.
---
Resupply - Gain 1 Dilithium. You may discard a Reman to gain an additional 2 Dilithium.",-,-
c01-05 Sela 20,Core Box,Sela,Location,Romulus,"Imperial
Romulan","Available
---
Play - Action: Take control of this location.
---
Control - You may free play a Ship.
---
Activation - If you have an Away Team here, draw a card. IF you have 3+ Total Away Team on 1 or more controlled Location, draw a card.","Military
Influence",-
c01-05 Sela 21,Core Box,Sela,Directive,Infiltrate,-,"Available
---
Play - Free: You may warp up to 3 of your Ship with Cloak.
---
Play - Action: Discard 2 cards and spend 1 Dilithium to gain a Person/Cargo/Ally.",-,-
c01-05 Sela 22,Core Box,Sela,Directive,Utilise,-,"Discard
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-05 Sela 23,Core Box,Sela,Ship,I.R.W. Terix,"Romulan
Cloak","Discard
---
Play - Action: Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",Research,-
c01-05 Sela 24,Core Box,Sela,Ally,Remans,"Telepath
Security
Reman","Discard
---
Play - Free: Put a card on the top of your deck to send an Away Team to a Location. Then either: log this card OR your opponent may draw a card.",-,-
c01-05 Sela 25,Core Box,Sela,Mission,Romulan Might,-,"Goal - Have Influence at 6+ and Military at 6+.
---
Reward - Enlist a Development. Find an Attack.",-,4.0
c01-05 Sela 26,Core Box,Sela,Mission,The Reunification Plot,-,"Goal - Have 4 Vulcan in play.
---
Reward - Gain 3 Influence. Draw a card for each Shady you have in play. You may free play an Incident. You may junk card from the Market.",-,4.0
c01-05 Sela 27,Core Box,Sela,Mission,The Duraw Plot,-,"Goal - Have 1+ Klingon on the same Ship that has Cloak.
---
Reward - Gain 1 Military for each Cloak in play. Gain 2 Glory from the supply (not the Stardate card) for each Klingon in play. Dismiss one Cloak and all beamed Klingon.",-,1.0
c01-06 Burnham 01,Core Box,Burnham,Captain,Michael Burnham,"Starfleet
Scientist
Human","Captain
---
Away Teams: 5
---
Passive - During your Clean-up step, remove 1 Glory from the Stardate card and place 2 Dilithium on a card in the Market instead.
---
Activation - Spend 3 Dilithium to gain an Ally and 1 Glory.",-,Research
c01-06 Burnham 02,Core Box,Burnham,Status,Inert Dilithium,-,"Status
---
Passive - Increase your hand size by 1.
---
Passive - Any Dilithium you gain, except from the Market, must be place on this card, unavailable to be spend. If an effect allows you to recrystallise Dilithium, move it from here to your supply.
---
Passive - You cannot spend Glory as Dilithium.",-,-
c01-06 Burnham 03,Core Box,Burnham,Ship,U.S.S. Discovery-A,"Starfleet
Anomaly","Deployed
---
Play - Action: Deploy this ship. You may discard a card to free play a Person.
---
Activation - Warp this ship, the refresh this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.
---
Passive - Your Dilithium cannot be stolen.","Research
Influence",-
c01-06 Burnham 04,Core Box,Burnham,Ship,U.S.S. Federation,"Starfleet
Starbase","Development - Cost: 6 Dilithium, OR free if Admiral Vance is your Duty Officer.
---
Play - Action: Deploy this ship. You may spend 1 Dilithium to warp this ship.
---
Activation - Promote a Person from your hand to Duty Officer.
---
Endgame - Score 1 for each of your cards with Influence/Military (scoring).","Wild
Wild","Endgame
Research"
c01-06 Burnham 05,Core Box,Burnham,Person,Admiral Vance,"Starfleet
Human","Development - Cost: 2 Dilithium.
---
Play - Action: Gain an Ally. Draw a card.
---
Activation - If you have an Away Team on a controlled Location, draw a card. IF you have 3+ total Away Team on 1 or more controlled Location, draw a card. You may discard an Incident to gain an Action.","Influence
Military",2.0
c01-06 Burnham 06,Core Box,Burnham,Person,Adira Tal,"Starfleet
Human
Trill","Development - Cost: 2 Dilithium, and have 7+ Research.
---
Play - Free: Log a card from your hand or Discard pile to find any card.
---
Reaction - When you would gain a card, scan 2 of the same suit instead and gain 1 Glory.
---
Passive - You may have an additional Person with Scientist/Engineer on duty.",-,2.0
c01-06 Burnham 07,Core Box,Burnham,Person,Jett Reno,"Starfleet
Engineer
Human","Development - Cost: Dismiss a deployed Ship.
---
Play - Free: Gain 3 Dilithium.
---
Play - Recrystallise 2 Dilithium.
---
Activation - Take an Incident to gain a Cargo or a Ship and discard the gained card.",-,3.0
c01-06 Burnham 08,Core Box,Burnham,Person,Doctor Kovish,Human,"Development - Cost: Find an Encounter and log it.
---
Play - Action: Draw a card. For each Anomaly you have in play, gain 1 Research. For each Ambassador you have in play, gain 1 Influence. For each Alien you have in play, gain 1 Military.
---
Passive - Increase your hand size by 1 for each of Research / Influence / Military you have a4 5+.",Research,Research
c01-06 Burnham 09,Core Box,Burnham,Location,Earth,Human,"Development - Cost: Have 8+ Research and 5+ Influence.
---
Play - Action: Take control of this location.
---
Control - You may gain a Person.
---
Activation - Gain 1 Influence and 1 Military.",-,5.0
c01-06 Burnham 10,Core Box,Burnham,Location,Theta Zeta,Anomaly,"Development - Cost: Have 12+ Research.
---
Play - Action: Take control of this location.
---
Control - Recrystallise all Dilithium. Log Inert Dilithium (from play). Gain 4 Glory.
---
Passive - You cannot send Away Teams here.
---
Endgame - Score 1 for every 2 Dilithium you have.",-,Endgame
c01-06 Burnham 11,Core Box,Burnham,Cargo,Trance Worm,"Creature
Alien","Development - Cost: 3 Latinum.
---
Play - Action: Junk a card from the Market. Spend 1 Latinum to gain a Person or a Cargo and log it. IF the gained card has 3 or more traits, gain 1 Glory.",-,2.0
c01-06 Burnham 12,Core Box,Burnham,Location,Ni'var,"Romulan
Vulcan","Reserve
---
Play - Action: Take control of this location. Remove 1 Glory from the Stardate card.
---
Control - You may find Inspire OR scan for an Ambassador.
---
Passive - This card has 1 Research for each Vulcan, 1 Influence for each Ambassador, and 1 Military for each Romulan you have in play (including traits on this card).",???,-
c01-06 Burnham 13,Core Box,Burnham,Person,Hugh Culber,"Starfleet
Doctor
Human","Reserve
---
Play - Action: You may find a Person/Incident. You may free play an Incident to gain 1 Glory.
---
Reaction - After taking an Incident, discard a Person/Directive to return it and gain 1 Research.",-,-
c01-06 Burnham 14,Core Box,Burnham,Cargo,Grudge,Creature,"Reserve
---
Play - Free: You may free play Cleveland Booker or Book's Ship. You may beam this card and another card to Book's Ship. Junk a card from the Market.",-,-
c01-06 Burnham 15,Core Box,Burnham,Ship,Book's Ship,Cloak,"Reserve
---
Play - Deploy this ship. You may send an Away Team to a Location, ignoring any opponent Ship.
---
Activation - Discard a card to warp this ship.
---
Activation - Discard a card to recall a card beamed here.
---
Reaction - When an attack would dismiss your Duty Officer, dismiss a card beamed here to ignore the effect.",-,-
c01-06 Burnham 16,Core Box,Burnham,Directive,Inspire,-,"Available
---
Play - Action: Draw 2 cards and discard one of the drawn cards. Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-06 Burnham 17,Core Box,Burnham,Directive,Recover,-,"Available
---
Play - Action: Take an Incident to gain a Ship from the Junk.
---
Play - Action: Spend 1 Latinum to gain a Cargo.",-,-
c01-06 Burnham 18,Core Box,Burnham,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c01-06 Burnham 19,Core Box,Burnham,Directive,Maximum Warp,-,"Available
---
Play - Free: Draw 2 cards and discard one of the drawn cards. You may Warp a Ship.",-,-
c01-06 Burnham 20,Core Box,Burnham,Person,Keyla Detmer,"Synthetic
Starfleet
Human
Pilot","Available
---
Play - Action: Discard the top card of your deck. You may send discard a card to warp a Ship and send an Away Team to the Location you warped to.
---
Passive - This card has 2 Any (skill icon).","???
???",-
c01-06 Burnham 21,Core Box,Burnham,Person,Joann Owosekun,"Starfleet
Human
Ops","Available
---
Play - Action: You may send an Away Team to the U.S.S. Discovery-A's Location. You may beam a card from your hand or Discard pile to the U.S.S. Discovery-A. If you do both, gain 1 Glory.
---
Resupply - Discard the top card of your deck and gain 1 Latinum.
---
Activation: Exhaust a Ship to refresh its Location.",-,-
c01-06 Burnham 22,Core Box,Burnham,Person,Sylvia Tilly,"Scientist
Starfleet
Engineer
Human","Available
---
Play - Action: For each Scientist you have in play (excluding your Captain), draw a card. For Engineer in play, refresh a Captain/Cargo/Ship.
---
Play - Free: Log a card from your hand or Discard pile to recrystallise 1 Dilithium.
---
Reaction - After gaining a Person, discard an Incident to send an Away Team to a Location.",-,-
c01-06 Burnham 23,Core Box,Burnham,Person,Cleveland Booker,"Telepath
Business","Available
---
Play - Free: Gain 1 Dilithium and 1 Latinum.
---
Play - Action: Spend 1 Dilithium to gain a Person or a Cargo.
---
Activation - For each Creature you have in play either: draw a card OR gain 1 Glory.",-,-
c01-06 Burnham 24,Core Box,Burnham,Person,Paul Stamets,"Scientist
Starfleet
Human","Available
---
Play - Action: You may take an Incident to gain 2 Research. For each deployed Ship you have in play, recrystallise 1 Dilithium.
---
Activation - Action: Dismiss U.S.S. Discovery-A and this card and spend 3 Dilithium to take the top Encounter.",Research,-
c01-06 Burnham 25,Core Box,Burnham,Person,Saru,"Starfleet
Kelpien","Available
---
Play - Action: You may take an Incident to scan for a Kelpien. Find a Directive. You may free play the found card.
---
Resupply - Requires 2 Influence: Reveal your hand. If you have at least 2 Person in your hand, gain an Action.",-,-
c01-06 Burnham 26,Core Box,Burnham,Incident,Subspace Phenomenon,-,"Incident Deck
---
Play - Action: Discard a card to return this card. If the discarded card has Research draw 2 cards and discard one of them.
---
Play - Action: If you have a Time-Travel in play, return this card and draw 2 cards and discard one of them.",-,-2.0
c01-06 Burnham 27,Core Box,Burnham,Mission,Investigate the Burn,-,"Goal - Have 2 Incident, a Scientist, and a Kelpien on the same Ship, and Research at 5+.
---
Reward - Take the top Encounter and out it on the top of your deck. Recrystallise up to 2 Dilithium.",-,4.0
c01-06 Burnham 28,Core Box,Burnham,Mission,Reunited the Federation,-,"Goal - Have an Anomaly logged. Have 3 Starfleet in play (excluding your Captain). Have 3 Different Species (excluding cards with Starfleet) on the same Ship.
---
Reward - Draw the top Location and take control of it.",-,3.0
c01-06 Burnham 29,Core Box,Burnham,Mission,Dealing with the Emerald Chain,-,"Goal - Have 2 Business/Orion in play. Have 2 Shady logged.
---
Reward - You may free play an Incident to gain 2 Glory, 2 Dilithium, and 2 Latinum.",-,6.0
c02-01 Georgiou 01,To Boldly Go,Georgiou,Captain,Philippa Georgiou,"Starfleet
Human","Captain
---
Away Teams: 5
---
Activation - Remove an Away Team from a Location to return an Incident.
---
Endgame - Score 1 for every 3 cards you have in play.",-,Endgame
c02-01 Georgiou 02,To Boldly Go,Georgiou,Ship,U.S.S. Shenzhou,Starfleet,"Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",Military,-
c02-01 Georgiou 03,To Boldly Go,Georgiou,Location,Kaminar,Kelpien,"Development - Cost: 3 Dilithium.
---
Play - Action: Take control of this location.
---
Control - Find a Kelpien. If the found card is a Person, you may promote them to Duty Officer.
---
Activation - You may spend 1 Dilithium to free play a Kelpien. If you have an Away Team here, draw a card.
---
Activation - Return an Incident.",-,Research
c02-01 Georgiou 04,To Boldly Go,Georgiou,Person,Ambassador Sarek,"Ambassador
Telepath
Vulcan","Development - Cost: 1 Dilithium, 1 Latinum.
---
Play - Action: Gain 1 Influence for each Vulcan you have in play (including this card). You may promote Ambassador Sarek and optionally another Person from your Staging Area to Duty Officer(s).
---
Passive - You may have up to two additional Person on duty.",Influence,2.0
c02-01 Georgiou 05,To Boldly Go,Georgiou,Encounter,Red Angel,"Time Travel
Anomaly
Ongoing","Development - Cost: 3 Dilithium, and take an Incident.
---
Play - Deploy this card.
---
Passive - Whenever scanning, include cards in the Junk too.
---
Activation - Take an Incident to gain an Action. You may recall a non-Time Travel, non-Encounter card from your Staging Area.
---
Endgame - Score 1 for each of your Anomaly cards.",Research,-
c02-01 Georgiou 06,To Boldly Go,Georgiou,Location,Binary Stars Comms Relay,"Communication
Starfleet
Klingon","Development - Cost: 3 Dilithium, and dismiss a Duty Officer.
---
Play - Action: Take control of this location.
---
Control - Up to three times: log a Starfleet from your hand to scan for a Klingon.
---
Reaction - After deploying a Ship, gain 1 Glory.",-,Military
c02-01 Georgiou 07,To Boldly Go,Georgiou,Cargo,An Old Telescope,"Scientist
Ancient
Ongoing","Development - Cost: 3 Latinum.
---
Play - Deploy this card.
---
Reaction - After gaining Research, gain 1 Glory.
---
Passive - After putting an Encounter into play, draw a card.",-,Research
c02-01 Georgiou 08,To Boldly Go,Georgiou,Cargo,Thruster Pack,Ongoing,"Development - Cost: 2 Dilithium.
---
Play - Free: Deploy this card. You may find up to 3 Person and beam them here. If you beamed at least 2, gain an Action.
---
Activation - Recall a Person beamed here.
---
Activation - Spend 1 Dilithium to beam a Person here from your hand or Discard pile. You may spend 1 Dilithium to refresh this card.
---
Passive - If no cards are beamed here, dismiss this card.",-,3.0
c02-01 Georgiou 09,To Boldly Go,Georgiou,Person,Admiral Anderson,"Starfleet
Human","Development - Cost: 4 Dilithium.
---
Play - Action: Enlist a Development and draw a card.
---
Passive - After putting a Starfleet into play (including this card), you may draw a card.",-,Military
c02-01 Georgiou 10,To Boldly Go,Georgiou,Directive,Set a Course,-,"Reserve
---
Play - Action: Discard up to 3 Person to send the same number of Away Teams to the same Location.
---
Play - Free: Draw a card, then discard a card. Warp up to 2 of your Ship.",-,-
c02-01 Georgiou 11,To Boldly Go,Georgiou,Directive,First Contact,-,"Reserve
---
Play - Action: Scan 2 of Ally. Log this card.",-,-
c02-01 Georgiou 12,To Boldly Go,Georgiou,Person,Lt. Saru,"Starfleet
Kelpien","Reserve
---
Play - Action: You may take an Incident to scan for a Kelpien. Find a Directive. If the card was found in your Reserve deck, take an Incident. You may free play the found card.
---
Resupply - Requires 3 Research: Reveal your hand. If you have a least 2 Person in your hand, gain an Action.",-,-
c02-01 Georgiou 13,To Boldly Go,Georgiou,Person,Cmdr. Burnham,"Starfleet
Scientist
Attack
Human","Reserve
---
Play - Free, Attack, Requires Military > Research: Dismiss a Duty Officer. Force your opponent to either: log (one of) their Duty Officer(s) OR dismiss (one of) their Duty Officer(s) and you gain 3 Glory.
---
Play - Action, Requires Research > Military: Discard a non-Starfleet card to scan for Any Species matches the discarded card.
---
Resupply - Take an Incident. Draw a card. Gain 1 Research / Military.",Research,-
c02-01 Georgiou 14,To Boldly Go,Georgiou,Ship,Class C Shuttlecraft,Starfleet,"Available
---
Play - Action: Send an Away Team to a Location where you have a Ship. You may put this card on the top of your deck.
---
Play - Free: Gain 1 Dilithium. Then you may either: beam a card to a Ship OR recall a card beamed to a Ship.",-,-
c02-01 Georgiou 15,To Boldly Go,Georgiou,Directive,Analyse,-,"Available
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c02-01 Georgiou 16,To Boldly Go,Georgiou,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c02-01 Georgiou 17,To Boldly Go,Georgiou,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c02-01 Georgiou 18,To Boldly Go,Georgiou,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c02-01 Georgiou 19,To Boldly Go,Georgiou,Location,Vulcan Science Academy,"Scientist
Vulcan","Available
---
Play - Action: Take control of this location.
---
Control - You may gain a Person. If the gained card is Vulcan, gain 2 Dilithium. If the gain card is Scientist, gain 1 Glory. If they gained card has both traits, gain both rewards.
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Teams on 1 or more controlled Location, draw a card.",Research,-
c02-01 Georgiou 20,To Boldly Go,Georgiou,Person,Danby Conner,"Starfleet
Human
Ops","Available
---
Play - Action: Gain 1 Military for each Person with Starfleet you have in play. If you gained 3 or more, log this card.
---
Activation - Log a card from your hand to either draw a card OR gain 2 Dilithium.",-,-
